nohup: ignoring input
Epoch: [0][0/5005]	Time 9.919 (9.919)	Data 3.034 (3.034)	Loss 6.9212 (6.9212)	Prec@1 0.000 (0.000)	Prec@5 1.562 (1.562)
Epoch: [0][10/5005]	Time 2.162 (2.834)	Data 0.001 (0.276)	Loss 6.9934 (6.9534)	Prec@1 0.391 (0.213)	Prec@5 1.562 (0.781)
Epoch: [0][20/5005]	Time 2.162 (2.513)	Data 0.001 (0.145)	Loss 6.9520 (6.9736)	Prec@1 0.000 (0.186)	Prec@5 0.781 (0.781)
Epoch: [0][30/5005]	Time 2.163 (2.400)	Data 0.001 (0.099)	Loss 7.0340 (6.9868)	Prec@1 0.000 (0.164)	Prec@5 0.781 (0.731)
Epoch: [0][40/5005]	Time 2.162 (2.342)	Data 0.001 (0.075)	Loss 6.9891 (6.9941)	Prec@1 0.000 (0.171)	Prec@5 0.391 (0.724)
Epoch: [0][50/5005]	Time 2.167 (2.307)	Data 0.001 (0.060)	Loss 6.9207 (6.9905)	Prec@1 0.391 (0.169)	Prec@5 0.781 (0.720)
Epoch: [0][60/5005]	Time 2.166 (2.284)	Data 0.001 (0.050)	Loss 6.9436 (6.9880)	Prec@1 0.391 (0.192)	Prec@5 0.391 (0.724)
Epoch: [0][70/5005]	Time 2.165 (2.267)	Data 0.001 (0.043)	Loss 6.9420 (6.9810)	Prec@1 0.000 (0.204)	Prec@5 1.172 (0.732)
Epoch: [0][80/5005]	Time 2.169 (2.255)	Data 0.001 (0.038)	Loss 6.9435 (6.9736)	Prec@1 0.391 (0.217)	Prec@5 0.391 (0.767)
Epoch: [0][90/5005]	Time 2.163 (2.245)	Data 0.001 (0.034)	Loss 6.8555 (6.9626)	Prec@1 0.000 (0.236)	Prec@5 0.391 (0.841)
Epoch: [0][100/5005]	Time 2.169 (2.237)	Data 0.001 (0.031)	Loss 6.8320 (6.9524)	Prec@1 0.391 (0.248)	Prec@5 1.172 (0.909)
Epoch: [0][110/5005]	Time 2.167 (2.231)	Data 0.001 (0.028)	Loss 6.8147 (6.9418)	Prec@1 0.000 (0.257)	Prec@5 3.125 (1.003)
Epoch: [0][120/5005]	Time 2.169 (2.225)	Data 0.001 (0.026)	Loss 6.8416 (6.9301)	Prec@1 0.000 (0.274)	Prec@5 0.781 (1.114)
Epoch: [0][130/5005]	Time 2.168 (2.221)	Data 0.001 (0.024)	Loss 6.7969 (6.9177)	Prec@1 0.781 (0.295)	Prec@5 1.562 (1.187)
Epoch: [0][140/5005]	Time 2.168 (2.217)	Data 0.001 (0.022)	Loss 6.7059 (6.9060)	Prec@1 0.781 (0.299)	Prec@5 2.734 (1.241)
Epoch: [0][150/5005]	Time 2.167 (2.214)	Data 0.001 (0.021)	Loss 6.7435 (6.8950)	Prec@1 0.781 (0.310)	Prec@5 1.953 (1.301)
Epoch: [0][160/5005]	Time 2.165 (2.211)	Data 0.001 (0.020)	Loss 6.7271 (6.8841)	Prec@1 0.391 (0.311)	Prec@5 1.953 (1.347)
Epoch: [0][170/5005]	Time 2.167 (2.208)	Data 0.001 (0.018)	Loss 6.7047 (6.8740)	Prec@1 0.000 (0.315)	Prec@5 2.344 (1.389)
Epoch: [0][180/5005]	Time 2.164 (2.206)	Data 0.001 (0.017)	Loss 6.6580 (6.8623)	Prec@1 0.000 (0.322)	Prec@5 2.734 (1.472)
Epoch: [0][190/5005]	Time 2.169 (2.204)	Data 0.001 (0.017)	Loss 6.6310 (6.8515)	Prec@1 0.391 (0.327)	Prec@5 3.125 (1.538)
Epoch: [0][200/5005]	Time 2.168 (2.202)	Data 0.001 (0.016)	Loss 6.6582 (6.8400)	Prec@1 0.391 (0.350)	Prec@5 3.125 (1.603)
Epoch: [0][210/5005]	Time 2.164 (2.200)	Data 0.001 (0.015)	Loss 6.5072 (6.8287)	Prec@1 1.562 (0.374)	Prec@5 4.297 (1.705)
Epoch: [0][220/5005]	Time 2.168 (2.199)	Data 0.001 (0.014)	Loss 6.5598 (6.8188)	Prec@1 1.172 (0.392)	Prec@5 3.906 (1.782)
Epoch: [0][230/5005]	Time 2.166 (2.197)	Data 0.001 (0.014)	Loss 6.4632 (6.8068)	Prec@1 0.000 (0.411)	Prec@5 2.734 (1.850)
Epoch: [0][240/5005]	Time 2.165 (2.196)	Data 0.001 (0.013)	Loss 6.5635 (6.7961)	Prec@1 1.562 (0.428)	Prec@5 3.125 (1.919)
Epoch: [0][250/5005]	Time 2.169 (2.195)	Data 0.001 (0.013)	Loss 6.5665 (6.7861)	Prec@1 1.172 (0.437)	Prec@5 3.516 (1.969)
Epoch: [0][260/5005]	Time 2.171 (2.194)	Data 0.001 (0.012)	Loss 6.5503 (6.7753)	Prec@1 0.391 (0.459)	Prec@5 2.734 (2.041)
Epoch: [0][270/5005]	Time 2.170 (2.193)	Data 0.001 (0.012)	Loss 6.4406 (6.7645)	Prec@1 1.953 (0.489)	Prec@5 3.906 (2.117)
Epoch: [0][280/5005]	Time 2.168 (2.192)	Data 0.001 (0.012)	Loss 6.5360 (6.7553)	Prec@1 0.391 (0.506)	Prec@5 3.516 (2.174)
Epoch: [0][290/5005]	Time 2.167 (2.191)	Data 0.001 (0.011)	Loss 6.4594 (6.7457)	Prec@1 0.391 (0.509)	Prec@5 2.734 (2.208)
Epoch: [0][300/5005]	Time 2.164 (2.190)	Data 0.001 (0.011)	Loss 6.4633 (6.7356)	Prec@1 1.172 (0.539)	Prec@5 2.734 (2.257)
Epoch: [0][310/5005]	Time 2.166 (2.190)	Data 0.001 (0.010)	Loss 6.3680 (6.7260)	Prec@1 1.172 (0.544)	Prec@5 5.469 (2.310)
Epoch: [0][320/5005]	Time 2.170 (2.189)	Data 0.001 (0.010)	Loss 6.2603 (6.7155)	Prec@1 1.562 (0.570)	Prec@5 5.078 (2.385)
Epoch: [0][330/5005]	Time 2.166 (2.188)	Data 0.001 (0.010)	Loss 6.2838 (6.7054)	Prec@1 1.562 (0.588)	Prec@5 5.078 (2.456)
Epoch: [0][340/5005]	Time 2.166 (2.188)	Data 0.001 (0.010)	Loss 6.3191 (6.6955)	Prec@1 2.734 (0.608)	Prec@5 7.422 (2.530)
Epoch: [0][350/5005]	Time 2.166 (2.187)	Data 0.001 (0.009)	Loss 6.3826 (6.6852)	Prec@1 1.172 (0.623)	Prec@5 3.906 (2.592)
Epoch: [0][360/5005]	Time 2.166 (2.186)	Data 0.001 (0.009)	Loss 6.3426 (6.6756)	Prec@1 1.172 (0.638)	Prec@5 3.516 (2.645)
Epoch: [0][370/5005]	Time 2.167 (2.186)	Data 0.001 (0.009)	Loss 6.3988 (6.6666)	Prec@1 1.172 (0.657)	Prec@5 3.125 (2.713)
Epoch: [0][380/5005]	Time 2.170 (2.185)	Data 0.001 (0.009)	Loss 6.2394 (6.6573)	Prec@1 2.344 (0.685)	Prec@5 6.641 (2.784)
Epoch: [0][390/5005]	Time 2.167 (2.185)	Data 0.001 (0.008)	Loss 6.2384 (6.6472)	Prec@1 1.562 (0.710)	Prec@5 7.422 (2.877)
Epoch: [0][400/5005]	Time 2.169 (2.184)	Data 0.001 (0.008)	Loss 6.3012 (6.6390)	Prec@1 2.734 (0.730)	Prec@5 7.812 (2.946)
Epoch: [0][410/5005]	Time 2.169 (2.184)	Data 0.001 (0.008)	Loss 6.2316 (6.6293)	Prec@1 0.391 (0.744)	Prec@5 5.469 (2.998)
Epoch: [0][420/5005]	Time 2.170 (2.184)	Data 0.001 (0.008)	Loss 6.2534 (6.6206)	Prec@1 1.172 (0.754)	Prec@5 8.594 (3.058)
Epoch: [0][430/5005]	Time 2.169 (2.183)	Data 0.001 (0.008)	Loss 6.2807 (6.6122)	Prec@1 1.562 (0.776)	Prec@5 5.078 (3.121)
Epoch: [0][440/5005]	Time 2.169 (2.183)	Data 0.001 (0.008)	Loss 6.1665 (6.6034)	Prec@1 2.344 (0.798)	Prec@5 5.859 (3.179)
Epoch: [0][450/5005]	Time 2.166 (2.183)	Data 0.001 (0.007)	Loss 6.1689 (6.5943)	Prec@1 0.781 (0.811)	Prec@5 5.469 (3.248)
Epoch: [0][460/5005]	Time 2.171 (2.182)	Data 0.001 (0.007)	Loss 6.1037 (6.5861)	Prec@1 2.344 (0.834)	Prec@5 8.594 (3.330)
Epoch: [0][470/5005]	Time 2.167 (2.182)	Data 0.001 (0.007)	Loss 6.1591 (6.5779)	Prec@1 1.562 (0.848)	Prec@5 7.031 (3.380)
Epoch: [0][480/5005]	Time 2.168 (2.182)	Data 0.001 (0.007)	Loss 5.9651 (6.5686)	Prec@1 3.906 (0.873)	Prec@5 8.594 (3.449)
Epoch: [0][490/5005]	Time 2.170 (2.181)	Data 0.001 (0.007)	Loss 6.2128 (6.5605)	Prec@1 2.344 (0.894)	Prec@5 7.812 (3.516)
Epoch: [0][500/5005]	Time 2.167 (2.181)	Data 0.001 (0.007)	Loss 6.1254 (6.5527)	Prec@1 2.734 (0.923)	Prec@5 7.422 (3.583)
Epoch: [0][510/5005]	Time 2.170 (2.181)	Data 0.001 (0.007)	Loss 6.0552 (6.5434)	Prec@1 2.734 (0.950)	Prec@5 8.984 (3.668)
Epoch: [0][520/5005]	Time 2.166 (2.181)	Data 0.001 (0.007)	Loss 6.0821 (6.5350)	Prec@1 2.344 (0.968)	Prec@5 7.031 (3.728)
Epoch: [0][530/5005]	Time 2.170 (2.180)	Data 0.001 (0.006)	Loss 6.0496 (6.5264)	Prec@1 1.562 (0.984)	Prec@5 7.031 (3.808)
Epoch: [0][540/5005]	Time 2.167 (2.180)	Data 0.001 (0.006)	Loss 6.0121 (6.5177)	Prec@1 2.344 (1.009)	Prec@5 11.328 (3.874)
Epoch: [0][550/5005]	Time 2.172 (2.180)	Data 0.001 (0.006)	Loss 5.8810 (6.5091)	Prec@1 2.734 (1.032)	Prec@5 10.156 (3.948)
Epoch: [0][560/5005]	Time 2.166 (2.180)	Data 0.001 (0.006)	Loss 6.1948 (6.5019)	Prec@1 1.172 (1.050)	Prec@5 5.859 (3.997)
Epoch: [0][570/5005]	Time 2.172 (2.180)	Data 0.001 (0.006)	Loss 6.0910 (6.4935)	Prec@1 2.344 (1.066)	Prec@5 7.812 (4.057)
Epoch: [0][580/5005]	Time 2.169 (2.179)	Data 0.001 (0.006)	Loss 6.0075 (6.4858)	Prec@1 2.734 (1.097)	Prec@5 10.156 (4.133)
Epoch: [0][590/5005]	Time 2.168 (2.179)	Data 0.001 (0.006)	Loss 6.0283 (6.4784)	Prec@1 3.125 (1.122)	Prec@5 8.203 (4.204)
Epoch: [0][600/5005]	Time 2.171 (2.179)	Data 0.001 (0.006)	Loss 5.9983 (6.4703)	Prec@1 2.344 (1.146)	Prec@5 7.422 (4.281)
Epoch: [0][610/5005]	Time 2.169 (2.179)	Data 0.001 (0.006)	Loss 5.9196 (6.4629)	Prec@1 3.906 (1.171)	Prec@5 9.766 (4.345)
Epoch: [0][620/5005]	Time 2.172 (2.179)	Data 0.001 (0.006)	Loss 6.0093 (6.4554)	Prec@1 3.125 (1.198)	Prec@5 10.156 (4.415)
Epoch: [0][630/5005]	Time 2.166 (2.178)	Data 0.001 (0.006)	Loss 5.9726 (6.4478)	Prec@1 3.125 (1.216)	Prec@5 9.375 (4.483)
Epoch: [0][640/5005]	Time 2.167 (2.178)	Data 0.001 (0.005)	Loss 6.0795 (6.4401)	Prec@1 1.562 (1.242)	Prec@5 8.203 (4.556)
Epoch: [0][650/5005]	Time 2.167 (2.178)	Data 0.001 (0.005)	Loss 6.0829 (6.4332)	Prec@1 2.734 (1.255)	Prec@5 9.766 (4.618)
Epoch: [0][660/5005]	Time 2.166 (2.178)	Data 0.001 (0.005)	Loss 5.9031 (6.4255)	Prec@1 3.125 (1.284)	Prec@5 7.812 (4.687)
Epoch: [0][670/5005]	Time 2.172 (2.178)	Data 0.001 (0.005)	Loss 6.0118 (6.4181)	Prec@1 2.734 (1.308)	Prec@5 6.641 (4.752)
Epoch: [0][680/5005]	Time 2.172 (2.178)	Data 0.001 (0.005)	Loss 5.8885 (6.4105)	Prec@1 2.734 (1.332)	Prec@5 7.422 (4.821)
Epoch: [0][690/5005]	Time 2.165 (2.178)	Data 0.001 (0.005)	Loss 5.8021 (6.4027)	Prec@1 2.734 (1.354)	Prec@5 10.938 (4.892)
Epoch: [0][700/5005]	Time 2.172 (2.177)	Data 0.001 (0.005)	Loss 5.7061 (6.3955)	Prec@1 3.906 (1.381)	Prec@5 11.719 (4.956)
Epoch: [0][710/5005]	Time 2.169 (2.177)	Data 0.001 (0.005)	Loss 5.6997 (6.3875)	Prec@1 3.516 (1.408)	Prec@5 11.719 (5.034)
Epoch: [0][720/5005]	Time 2.168 (2.177)	Data 0.001 (0.005)	Loss 5.8575 (6.3797)	Prec@1 3.516 (1.432)	Prec@5 12.109 (5.107)
Epoch: [0][730/5005]	Time 2.167 (2.177)	Data 0.001 (0.005)	Loss 5.8015 (6.3724)	Prec@1 2.734 (1.455)	Prec@5 9.375 (5.181)
Epoch: [0][740/5005]	Time 2.167 (2.177)	Data 0.001 (0.005)	Loss 5.9407 (6.3660)	Prec@1 3.516 (1.473)	Prec@5 8.984 (5.237)
Epoch: [0][750/5005]	Time 2.166 (2.177)	Data 0.001 (0.005)	Loss 5.8519 (6.3593)	Prec@1 0.781 (1.490)	Prec@5 7.422 (5.306)
Epoch: [0][760/5005]	Time 2.168 (2.177)	Data 0.001 (0.005)	Loss 5.8640 (6.3525)	Prec@1 2.734 (1.511)	Prec@5 7.812 (5.382)
Epoch: [0][770/5005]	Time 2.170 (2.176)	Data 0.001 (0.005)	Loss 5.8261 (6.3460)	Prec@1 1.172 (1.531)	Prec@5 10.156 (5.442)
Epoch: [0][780/5005]	Time 2.167 (2.176)	Data 0.001 (0.005)	Loss 5.7584 (6.3391)	Prec@1 3.125 (1.558)	Prec@5 12.500 (5.521)
Epoch: [0][790/5005]	Time 2.166 (2.176)	Data 0.001 (0.005)	Loss 5.6673 (6.3319)	Prec@1 3.516 (1.577)	Prec@5 12.500 (5.594)
Epoch: [0][800/5005]	Time 2.168 (2.176)	Data 0.001 (0.004)	Loss 5.9050 (6.3246)	Prec@1 4.297 (1.595)	Prec@5 10.938 (5.661)
Epoch: [0][810/5005]	Time 2.170 (2.176)	Data 0.001 (0.004)	Loss 5.7902 (6.3175)	Prec@1 1.953 (1.619)	Prec@5 9.766 (5.740)
Epoch: [0][820/5005]	Time 2.170 (2.176)	Data 0.001 (0.004)	Loss 5.7091 (6.3106)	Prec@1 6.641 (1.645)	Prec@5 13.672 (5.808)
Epoch: [0][830/5005]	Time 2.171 (2.176)	Data 0.001 (0.004)	Loss 5.7561 (6.3038)	Prec@1 4.297 (1.670)	Prec@5 10.547 (5.873)
Epoch: [0][840/5005]	Time 2.167 (2.176)	Data 0.001 (0.004)	Loss 5.6341 (6.2969)	Prec@1 5.078 (1.696)	Prec@5 15.234 (5.952)
Epoch: [0][850/5005]	Time 2.169 (2.176)	Data 0.001 (0.004)	Loss 5.7473 (6.2904)	Prec@1 3.516 (1.715)	Prec@5 14.062 (6.028)
Epoch: [0][860/5005]	Time 2.167 (2.176)	Data 0.001 (0.004)	Loss 5.8011 (6.2835)	Prec@1 3.125 (1.739)	Prec@5 10.156 (6.102)
Epoch: [0][870/5005]	Time 2.173 (2.176)	Data 0.001 (0.004)	Loss 5.5081 (6.2769)	Prec@1 3.906 (1.760)	Prec@5 15.625 (6.176)
Epoch: [0][880/5005]	Time 2.171 (2.175)	Data 0.001 (0.004)	Loss 5.6931 (6.2704)	Prec@1 1.953 (1.785)	Prec@5 12.500 (6.245)
Epoch: [0][890/5005]	Time 2.170 (2.175)	Data 0.001 (0.004)	Loss 5.5648 (6.2635)	Prec@1 3.906 (1.805)	Prec@5 15.234 (6.325)
Epoch: [0][900/5005]	Time 2.171 (2.175)	Data 0.001 (0.004)	Loss 5.4942 (6.2571)	Prec@1 8.203 (1.827)	Prec@5 15.625 (6.394)
Epoch: [0][910/5005]	Time 2.169 (2.175)	Data 0.001 (0.004)	Loss 5.5777 (6.2506)	Prec@1 2.734 (1.853)	Prec@5 12.500 (6.468)
Epoch: [0][920/5005]	Time 2.170 (2.175)	Data 0.001 (0.004)	Loss 5.6214 (6.2438)	Prec@1 3.906 (1.878)	Prec@5 15.234 (6.541)
Epoch: [0][930/5005]	Time 2.166 (2.175)	Data 0.001 (0.004)	Loss 5.5596 (6.2376)	Prec@1 5.859 (1.902)	Prec@5 14.062 (6.607)
Epoch: [0][940/5005]	Time 2.169 (2.175)	Data 0.001 (0.004)	Loss 5.5832 (6.2314)	Prec@1 3.516 (1.928)	Prec@5 14.453 (6.679)
Epoch: [0][950/5005]	Time 2.172 (2.175)	Data 0.001 (0.004)	Loss 5.5949 (6.2254)	Prec@1 3.516 (1.950)	Prec@5 11.719 (6.729)
Epoch: [0][960/5005]	Time 2.171 (2.175)	Data 0.001 (0.004)	Loss 5.5769 (6.2192)	Prec@1 4.688 (1.968)	Prec@5 13.281 (6.790)
Epoch: [0][970/5005]	Time 2.171 (2.175)	Data 0.001 (0.004)	Loss 5.4464 (6.2132)	Prec@1 5.469 (1.990)	Prec@5 14.062 (6.853)
Epoch: [0][980/5005]	Time 2.171 (2.175)	Data 0.001 (0.004)	Loss 5.5011 (6.2067)	Prec@1 4.297 (2.013)	Prec@5 14.453 (6.921)
Epoch: [0][990/5005]	Time 2.172 (2.175)	Data 0.001 (0.004)	Loss 5.6125 (6.2009)	Prec@1 5.469 (2.039)	Prec@5 14.844 (6.988)
Epoch: [0][1000/5005]	Time 2.170 (2.175)	Data 0.001 (0.004)	Loss 5.2981 (6.1948)	Prec@1 4.297 (2.056)	Prec@5 19.922 (7.053)
Epoch: [0][1010/5005]	Time 2.169 (2.175)	Data 0.001 (0.004)	Loss 5.6767 (6.1888)	Prec@1 2.734 (2.078)	Prec@5 12.500 (7.120)
Epoch: [0][1020/5005]	Time 2.168 (2.175)	Data 0.001 (0.004)	Loss 5.5585 (6.1825)	Prec@1 5.078 (2.104)	Prec@5 15.625 (7.192)
Epoch: [0][1030/5005]	Time 2.172 (2.175)	Data 0.001 (0.004)	Loss 5.3754 (6.1763)	Prec@1 3.906 (2.132)	Prec@5 16.016 (7.256)
